,Input,Object,RA,DEC,Redshift,RA_deg,DEC_deg,D,M_BH,Activity,Activity_new
0,M31,MESSIER 031  ,00h42m44.35s,+41d16m08.7s,-0.000991,10.684791666666664,41.269083333333334,0.774,143000000.0,False,B
1,M81,MESSIER 081  ,09h55m33.17s,+69d03m55.1s,-0.000130,148.8882083333333,69.06530555555555,3.604,65000000.0,True,A
2,NGC524,NGC 0524     ,01h24m47.75s,+09d32m20.0s, 0.008016,21.19895833333333,9.53888888888889,24.22,867000000.0,False,B
3,NGC821,NGC 0821     ,02h08m21.15s,+10d59m41.9s, 0.005787,32.088125,10.994972222222222,23.44,165000000.0,False,B
4,NGC1023,NGC 1023     ,02h40m24.01s,+39d03m47.9s, 0.002121,40.10004166666666,39.06330555555555,10.81,41300000.0,False,B
5,NGC1194,NGC 1194     ,03h03m49.10s,-01d06m13.4s, 0.013631,45.954583333333325,-1.1037222222222223,57.98,70800000.0,True,A
6,NGC1277,NGC 1277     ,03h19m51.49s,+41d34m24.9s, 0.016749,49.96454166666666,41.57358333333334,73.0,17000000000.0,False,B
7,NGC2549,NGC 2549     ,08h18m58.37s,+57d48m11.1s, 0.003506,124.74320833333331,57.80308333333333,12.7,14500000.0,False,B
8,NGC3115,NGC 3115     ,10h05m13.98s,-07d43m06.9s, 0.002287,151.30825,-7.718583333333333,9.54,897000000.0,False,B
9,NGC3245,NGC 3245     ,10h27m18.39s,+28d30m26.6s, 0.004423,156.82662499999998,28.50738888888889,21.38,239000000.0,True,C
10,NGC3585,NGC 3585     ,11h13m17.11s,-26d45m17.5s, 0.004783,168.32129166666664,-26.75486111111111,20.51,329000000.0,False,B
11,NGC3998,NGC 3998     ,11h57m56.13s,+55d27m12.9s, 0.003401,179.48387499999998,55.453583333333334,14.3,845000000.0,True,A
12,NGC4026,NGC 4026     ,11h59m25.10s,+50d57m42.0s, 0.003289,179.8545833333333,50.961666666666666,13.35,180000000.0,False,B
13,NGC4258,MESSIER 106  ,12h18m57.50s,+47d18m14.3s, 0.001538,184.73958333333331,47.30397222222222,7.27,37800000.0,True,A
14,NGC4342,NGC 4342     ,12h23m38.99s,+07d03m14.4s, 0.002538,185.91245833333332,7.053999999999999,22.91,453000000.0,False,B
15,NGC4526,NGC 4526     ,12h34m03.03s,+07d41m56.9s, 0.002058,188.51262499999996,7.699138888888889,16.44,451000000.0,False,B
16,NGC4564,NGC 4564     ,12h36m26.99s,+11d26m21.3s, 0.003809,189.1124583333333,11.43925,15.94,88100000.0,False,B
17,NGC4594,MESSIER 104  ,12h39m59.43s,-11d37m23.1s, 0.003633,189.99762499999997,-11.623083333333334,9.87,665000000.0,True,C
18,NGC7457,NGC 7457     ,23h00m59.91s,+30d08m41.9s, 0.002815,345.2496249999999,30.144972222222222,12.53,9000000.0,False,B
19,ESO 97-G13,Circinus Gala,14h13m09.96s,-65d20m20.7s, 0.001448,213.29149999999996,-65.33908333333333,2.82,1140000.0,True,A
20,NGC1068,MESSIER 077  ,02h42m40.70s,-00d00m47.8s, 0.003793,40.66958333333333,-0.013277777777777777,15.9,8390000.0,True,A
21,NGC1300,NGC 1300     ,03h19m41.03s,-19d24m40.1s, 0.005264,49.920958333333324,-19.41113888888889,21.5,75500000.0,False,B
22,NGC2273,NGC 2273     ,06h50m08.65s,+60d50m44.9s, 0.006138,102.53604166666666,60.84580555555556,29.5,8610000.0,True,A
23,NGC2748,NGC 2748     ,09h13m43.00s,+76d28m31.4s, 0.004923,138.42916666666665,76.47538888888889,23.4,44400000.0,False,B
24,NGC2787,NGC 2787     ,09h19m18.62s,+69d12m11.6s, 0.002322,139.8275833333333,69.20322222222222,7.45,40700000.0,True,A
25,NGC3227,NGC 3227     ,10h23m30.57s,+19d51m54.3s, 0.003756,155.87737499999997,19.865083333333335,23.75,21000000.0,True,A
26,NGC3368,MESSIER 096  ,10h46m45.68s,+11d49m12.0s, 0.002962,161.6903333333333,11.82,10.62,7660000.0,False,B
27,NGC3384,NGC 3384     ,10h48m16.90s,+12d37m45.5s, 0.002348,162.07041666666666,12.629305555555556,11.49,10800000.0,False,B
28,NGC3393,NGC 3393     ,10h48m23.46s,-25d09m43.4s, 0.012786,162.09775,-25.162055555555554,49.2,15700000.0,True,A
29,NGC3489,NGC 3489     ,11h00m18.55s,+13d54m04.3s, 0.002258,165.07729166666664,13.901194444444444,11.98,5940000.0,False,B
30,NGC3945,NGC 3945     ,11h53m13.63s,+60d40m32.3s, 0.004273,178.30679166666664,60.675638888888884,19.5,8800000.0,False,B
31,NGC4388,NGC 4388     ,12h25m46.78s,+12d39m43.8s, 0.008419,186.44491666666664,12.662166666666668,16.53,7310000.0,True,A
32,NGC4736,MESSIER 094  ,12h50m53.06s,+41d07m13.6s, 0.001027,192.72108333333333,41.120444444444445,5.0,6770000.0,True,A
33,NGC4826,MESSIER 064  ,12h56m43.67s,+21d40m58.8s, 0.001364,194.1819583333333,21.683,7.27,1560000.0,True,A
34,NGC4945,NGC 4945     ,13h05m27.45s,-49d28m04.9s, 0.001878,196.364375,-49.46802777777778,3.58,1350000.0,True,A
35,NGC6264,NGC 6264     ,16h57m16.13s,+27d50m58.6s, 0.033840,254.3172083333333,27.84961111111111,147.6,30800000.0,True,A
36,NGC6323,NGC 6323     ,17h13m18.06s,+43d46m56.9s, 0.025667,258.3252499999999,43.78247222222222,113.4,10100000.0,True,A
37,NGC7582,NGC 7582     ,23h18m23.63s,-42d22m13.5s, 0.005410,349.59845833333327,-42.370416666666664,22.3,55100000.0,True,A
38,IC2560,IC 2560      ,10h16m18.71s,-33d33m49.7s, 0.009757,154.07795833333333,-33.563805555555554,37.2,5010000.0,True,A
39,UGC3789,UGC 03789    ,07h19m30.95s,+59d21m18.5s, 0.010622,109.87895833333332,59.35513888888889,49.9,9650000.0,False,B
40,M32,MESSIER 032  ,00h42m41.85s,+40d51m55.4s,-0.000710,10.674374999999998,40.86538888888889,0.8,2450000.0,False,B
41,NGC1332,NGC 1332     ,03h26m17.23s,-21d20m06.6s, 0.005400,51.57179166666666,-21.335166666666666,22.66,1470000000.0,False,B
42,NGC1374,NGC 1374     ,03h35m16.60s,-35d13m34.6s, 0.004503,53.81916666666666,-35.22627777777778,19.57,590000000.0,False,B
43,NGC1399,NGC 1399     ,03h38m29.02s,-35d27m00.7s, 0.004753,54.62091666666666,-35.45019444444445,20.85,881000000.0,True,A
44,NGC1407,NGC 1407     ,03h40m11.84s,-18d34m48.2s, 0.005934,55.04933333333332,-18.580055555555557,29.0,4650000000.0,False,B
45,NGC1550,NGC 1550     ,04h19m37.93s,+02d24m35.8s, 0.012403,64.90804166666666,2.4099444444444442,52.5,3870000000.0,False,B
46,NGC3091,NGC 3091     ,10h00m14.12s,-19d38m11.3s, 0.013222,150.05883333333333,-19.63647222222222,53.02,3720000000.0,False,B
47,NGC3377,NGC 3377     ,10h47m42.33s,+13d59m09.3s, 0.002214,161.92637499999998,13.985916666666666,10.99,178000000.0,False,B
48,NGC3379,MESSIER 105  ,10h47m49.61s,+12d34m53.8s, 0.003026,161.95670833333332,12.58161111111111,10.7,416000000.0,False,B
49,NGC3608,NGC 3608     ,11h16m58.96s,+18d08m55.4s, 0.004180,169.24566666666666,18.148722222222222,22.75,465000000.0,False,B
50,NGC 3842,NGC 3842     ,11h44m02.15s,+19d56m59.4s, 0.020794,176.00895833333328,19.949833333333334,92.2,9090000000.0,False,B
51,NGC4291,NGC 4291     ,12h20m18.20s,+75d22m15.0s, 0.005861,185.07583333333332,75.37083333333332,26.58,978000000.0,True,C
52,NGC4374,MESSIER 084  ,12h25m03.74s,+12d53m13.1s, 0.003392,186.2655833333333,12.886972222222221,18.51,925000000.0,True,A
53,NGC4472,MESSIER 049  ,12h29m46.76s,+08d00m01.7s, 0.003272,187.44483333333332,8.000472222222223,16.72,2540000000.0,True,A
54,NGC4473,NGC 4473     ,12h29m48.88s,+13d25m45.9s, 0.007485,187.45366666666663,13.429416666666667,15.25,90000000.0,False,B
55,M87,MESSIER 087  ,12h30m49.42s,+12d23m28.0s, 0.004283,187.70591666666664,12.39111111111111,16.68,6150000000.0,True,A
56,NGC4649,MESSIER 060  ,12h43m39.99s,+11d33m09.4s, 0.003703,190.91662499999998,11.552611111111112,16.46,4720000000.0,False,B
57,NGC4697,NGC 4697     ,12h48m35.89s,-05d48m02.3s, 0.004140,192.14954166666664,-5.800638888888889,12.54,202000000.0,False,B
58,NGC4751,NGC 4751     ,12h52m50.76s,-42d39m35.5s, 0.006985,193.21149999999997,-42.65986111111111,32.81,1710000000.0,False,B
59,NGC 4886,NGC 4886,13h00m08.13s,+27d58m36.9s, 0.021502,195.033875,27.976916666666664,102.0,20800000000.0,False,B
60,NGC5077,NGC 5077     ,13h19m31.67s,-12d39m25.1s, 0.009360,199.8819583333333,-12.656972222222223,38.7,855000000.0,True,A
61,NGC5328,NGC 5328     ,13h52m53.33s,-28d29m21.7s, 0.015811,208.2222083333333,-28.489361111111112,64.4,4750000000.0,False,B
62,NGC5516,NGC 5516     ,14h15m54.70s,-48d06m53.3s, 0.013753,213.97791666666666,-48.114805555555556,55.3,3690000000.0,False,B
63,NGC5576,NGC 5576     ,14h21m03.67s,+03d16m15.4s, 0.005023,215.26529166666666,3.2709444444444444,25.68,273000000.0,True,C
64,NGC5845,NGC 5845     ,15h06m00.78s,+01d38m01.7s, 0.005550,226.50324999999998,1.6338055555555555,25.87,487000000.0,False,B
65,NGC6086,NGC 6086     ,16h12m35.55s,+29d29m05.3s, 0.031309,243.14812499999996,29.484805555555557,138.0,3740000000.0,True,C
66,NGC6861,NGC 6861     ,20h07m19.47s,-48d22m12.4s, 0.009437,301.83112499999993,-48.370111111111115,28.71,2100000000.0,True,C
67,NGC7619,NGC 7619     ,23h20m14.53s,+08d12m22.5s, 0.012549,350.0605416666666,8.206249999999999,53.85,2300000000.0,False,B
68,NGC7768,NGC 7768     ,23h50m58.55s,+27d08m50.4s, 0.026708,357.7439583333333,27.147333333333332,116.0,1340000000.0,False,B
69,IC1459,IC 1459      ,22h57m10.61s,-36d27m44.0s, 0.006011,344.2942083333333,-36.46222222222222,28.92,2480000000.0,True,A
70,NGC1316,NGC 1316     ,03h22m41.70s,-37d12m28.6s, 0.006010,50.67374999999999,-37.20794444444445,20.95,169000000.0,True,A
71,NGC2960,NGC 2960     ,09h40m36.39s,+03d34m37.3s, 0.016501,145.15162499999997,3.5770277777777775,67.1,10800000.0,True,A
72,NGC4382,MESSIER 085  ,12h25m24.05s,+18d11m27.9s, 0.002432,186.35020833333328,18.191083333333335,17.88,13000000.0,False,B
73,NGC5128,NGC 5128     ,13h25m27.61s,-43d01m08.8s, 0.001825,201.36504166666663,-43.01911111111111,3.62,56900000.0,True,A
74,IC1481,IC 1481      ,23h19m25.12s,+05d54m22.2s, 0.020331,349.8546666666666,5.9061666666666675,89.9,14900000.0,True,A
75,NGC2778,NGC 2778     ,09h12m24.38s,+35d01m39.2s, 0.006835,138.1015833333333,35.02755555555555,23.44,14500000.0,False,B
76,NGC3607,NGC 3607     ,11h16m54.67s,+18d03m06.4s, 0.003102,169.22779166666666,18.05177777777778,22.65,137000000.0,True,A
77,NGC4261,NGC 4261     ,12h19m23.22s,+05d49m29.7s, 0.007261,184.84674999999996,5.824916666666667,32.36,529000000.0,True,A
78,NGC4459,NGC 4459     ,12h29m00.04s,+13d58m42.9s, 0.003976,187.25016666666662,13.978583333333333,16.01,69600000.0,False,B
79,NGC6251,NGC 6251     ,16h32m31.97s,+82d32m16.4s, 0.024710,248.13320833333336,82.53788888888889,108.4,614000000.0,True,A
80,NGC7052,NGC 7052     ,21h18m33.04s,+26d26m49.2s, 0.015584,319.6376666666667,26.447,70.4,396000000.0,True,A
81,A1836BC,ABELL 1836   ,14h01m40.61s,-11d36m27.0s, 0.037609,210.41920833333333,-11.6075,152.4,2660000000.0,False,B
82,A3565BC,IC 4296,13h36m39.03s,-33d57m57.1s, 0.012465,204.16262499999996,-33.96586111111112,49.2,3740000000.0,True,C
83,CygnusA,Cygnus A     ,19h59m28.36s,+40d44m02.1s, 0.056200,299.86816666666664,40.733916666666666,242.7,1300000000.0,True,A
84,NGC2974,NGC 2974     ,09h42m33.29s,-03d41m56.9s, 0.006294,145.6387083333333,-3.699138888888889,21.5,170000000.0,True,A
85,NGC3079,NGC 3079     ,10h01m57.93s,+55d40m46.9s, 0.003689,150.49137499999998,55.67969444444444,15.9,2500000.0,True,A
86,NGC3414,NGC 3414     ,10h51m16.22s,+27d58m30.3s, 0.004903,162.81758333333332,27.97508333333333,25.2,251000000.0,False,B
87,NGC4151,NGC 4151     ,12h10m32.58s,+39d24m21.1s, 0.003326,182.63574999999997,39.40586111111111,20.0,65000000.0,True,A
88,NGC4552,MESSIER 089  ,12h35m39.81s,+12d33m22.8s, 0.001134,188.91587499999997,12.556333333333335,15.3,500000000.0,True,A
89,NGC4596,NGC 4596     ,12h39m55.95s,+10d10m34.3s, 0.006311,189.983125,10.176194444444445,16.5,76700000.0,False,B
90,NGC5813,NGC 5813     ,15h01m11.24s,+01d42m07.1s, 0.006525,225.29683333333332,1.7019722222222222,32.2,710000000.0,True,C
91,NGC5846,NGC 5846     ,15h06m29.23s,+01d36m22.6s, 0.005711,226.62179166666664,1.606277777777778,24.9,1100000000.0,True,C
92,NGC0307,NGC 0307     ,00h56m32.57s,-01d46m19.1s, 0.013026,14.135708333333332,-1.771972222222222,52.8,400000000.0,False,B
93,NGC1398,NGC 1398     ,03h38m52.06s,-26d20m15.6s, 0.004657,54.71691666666666,-26.337666666666667,24.8,108000000.0,False,B
94,NGC3627,MESSIER 066  ,11h20m15.01s,+12d59m29.8s, 0.002408,170.06254166666668,12.99161111111111,10.5,84900000.0,True,A
95,NGC3923,NGC 3923     ,11h51m01.71s,-28d48m21.4s, 0.005801,177.75712499999997,-28.805944444444446,20.8,2810000000.0,False,B
96,NGC4371,NGC 4371     ,12h24m55.43s,+11d42m15.0s, 0.003112,186.23095833333332,11.704166666666666,16.9,7000000.0,False,B
97,NGC4501,MESSIER 088  ,12h31m59.17s,+14d25m13.0s, 0.007619,187.99654166666667,14.420277777777777,16.5,20000000.0,True,A
98,NGC4699,NGC 4699     ,12h49m02.18s,-08d39m51.9s, 0.004650,192.2590833333333,-8.664416666666668,18.9,176000000.0,False,B
99,NGC5018,NGC 5018     ,13h13m01.05s,-19d31m05.5s, 0.009393,198.25437499999998,-19.518194444444443,40.6,105000000.0,False,B
100,NGC5419,NGC 5419     ,14h03m38.73s,-33d58m41.8s, 0.013763,210.911375,-33.97827777777778,56.2,7240000000.0,True,C
101,NGC4486A,NGC4486A,12h30m57.73s,+12d16m13.5s,0.002528,187.66979,12.27042,18.36,14400000,False,B
102,NGC4486B,NGC4486B,12h30m31.97s,+12d29m24.6s,0.005187,187.63325,12.49017,16.26,600000000,False,B
